設問ID(半角英数字20文字以内)	チェック設問有無(0:無 1:有)	チェック設問の解答(F04用)	F01:ラベル	F02:ラベル	F03:ラベル	F04:チェックボックス	F05:ラベル
778	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	春を呼ぶ「小田原かまぼこ桜まつり」が27日、小田原城址公園で開かれた。江戸時代から続く伝統の手作りかまぼこの名人技が実演された=写真。主催の小田原蒲鉾組合13社自慢の製品を通常より1割安くする販売コーナーには列ができた。	全国13社自慢の技を実演　小田原かまぼこ桜祭り@福よ来い　小田原で伝統の手作りかまぼこ名人技実演@“春”呼ぶ、手作りかまぼこ名人技　小田原でまつり@桜まつりで伝統の名人技披露　小田原@手作りかまぼこ名人技、披露　小田原@かまぼこ作り、名人の技実演　小田原	
779	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	ナショナルバスケットボールリーグ(NBL)のリンク栃木ブレックスは17日、小山市の県南体育館で日立東京と対戦し、97-86で快勝した。連勝を5に伸ばし、通算成績は10勝6敗。次戦は23日午後3時から、鹿沼市の鹿沼総合体育館で北海道と対戦する。	ブレックスが日立東京に快勝　バスケNBL・23日の試合@ブレックスが日立東京に快勝　バスケット・NBL@ブレックス5連勝　日立東京下す　バスケット・NBL@ブレックスが日立東京に快勝　バスケット・全米オープンリーグ@全試合連続でブレックス快勝　日立東京に97-86　バスケNBL@ブレックスが日立東京に快勝　バスケット・NBL　23日	
780	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	新潟県村上市の海岸にキタオットセイが姿を現し、近くの住民らが珍客を一目見ようと訪れている=写真。キタオットセイは19日朝、近くの女性が発見。体長約1メートルで、岩場に寝そべり、警戒する様子でもないという。	新潟の海岸にキタオットセイ@君のおうちは?　新潟の海岸にオットセイ@新居海岸にキタオットセイ　新潟・村上@冬に会いに来て　キタオットセイ、新潟の海岸に飛来@新居の珍客　キタオットセイ、新潟・村上の海岸に@キタオットセイ、新潟の海岸に	
781	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	厚生労働省が29日発表した9月の九州・沖縄の有効求人倍率(季節調整値)は、前月と同じ0・46倍だった。全国10の地域ごとにみると、北海道(0・43倍)、東北(0・45倍)に次ぐ低い水準。九州・沖縄・山口の県別では山口県が10カ月ぶりに悪化した。	九州・沖縄、求人0.46倍　山口は悪化　9月@9月の有効求人倍率、九州・沖縄0.46倍　10カ月ぶり悪化@有効求人倍率、九州・沖縄0.46倍　9月、全国最低水準@9月の有効求人倍率、九州・沖縄は0.46倍@有効求人倍率、9月は0.46倍　九州・沖縄、10カ月ぶり悪化@山口の求人倍率、10カ月ぶり悪化　九州・沖縄は変わらず	
782	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	土地取引の目安となる2016年の基準地価を、府が公表した。調査地点の地価の平均変動率は、住宅地が9年連続のマイナスとなり、商業地が3年連続のプラスとなった。都市部ではホテルやマンション向けの需要が地価を押し上げているが、郊外では下落に歯止めがかかっていない。	基準地価、商業地3年連続増　郊外は下落止まらず@関西3年連続増、郊外は下落続く　基準地価@京都市9区で上昇　住宅地の基準地価@基準地価、商業地3年連続増　郊外、下落止まらず@基準地価、商業地3年連続増　商業地、郊外では下落続く@住宅・商業地とも上昇　郊外で需要が押し上げ　基準地価	
783	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	オメガ・ミッションヒルズ・ワールドカップ(11月26日から、中国・深セン)の日本チームメンバーが28日発表された。米ツアー参戦中の今田竜二がパートナーとして藤田寛之を指名した。今田は2年連続2回目、藤田は12年ぶり2回目の出場。	W杯代表は今田と藤田に　ゴルフ@今田、藤田が日本チーム入り　ゴルフ・米女子ツアー@藤田を指名　ゴルフ・ミッションズW杯@今田が日本チーム入り　ゴルフ・米女子ツアー@米ツアー参戦中の今田、藤田を指名　ゴルフ・米女子ツアー@藤田が日本勢入り　ゴルフ・世界女子選手権	
784	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	日本酒の目利きを競う第31回県素人きき酒選手権大会が3日、大田市大田町の県立男女共同参画センターあすてらすであった。益田市の和食店員、中島猪佐雄さん(28)が優勝した。2位の会社員、野田保美さん(45)=松江市=とともに県代表として10月の全国大会に臨む。	益田の中島さん、全国大会出場へ　県素人きものコンクール@中島さんら全国へ　きき酒大会@県の和食店員が全国大会出場へ@益田の中島さん、全国大会出場へ　県素人き酒選手権@大吟醸の素人き酒、中島さん優勝　大田で県大会@県素人き酒選手権、28歳中島さんV　全国大会へ	
785	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	大学生▁19)▁4年ぶりの家族旅行で北海道へ行った。私が小さいころは、周りがうらやむくらいよく行った。それが最近、私も妹も弟も大きくなって忙しくなり、父も一時期、病気がちだったこともあって、ぱったり行かなくなった。	大学旅行、家族で北海道へ@若い世代　家族旅行で4年ぶり北海道へ@名門一家、4年ぶりの旅@旅行で感じた家族の交わり@札幌・北海道へ、4年ぶりの家族旅行@家族旅行、北海道へ4年ぶり出発	
786	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	リオ五輪の開会式を2日後に控えた3日夜、選手村ではドーピング問題に揺れるロシア選手団の入村式が開かれた。ミャンマーなどと合同で行われた式典には、選手、役員ら200人近くが出席。国歌の演奏とともにロシア国旗が掲揚され、夜空にはためいた。	五輪へロシア選手団が入村式　ミャンマーと合同式典@ロシア選手団も入村式　リオ五輪、きょう開幕@ミャンマーでロシア選手団入村式@ロシア選手団、入村式に出席　リオ五輪@ロシア選手団、リオ開会式前に入村式@ロシアが入村式　リオ五輪	
787	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	くず鉄から鉄製品をつくる電炉メーカー大手、東京製鉄の2014年3月期の最終的なもうけを示す純損益が、5年ぶりに黒字になった。公共事業や被災地の復興などで、建設用の鋼材が足りなくなり、価格が上がったためだ。売上高は1390億円で前年より1.3%増。	「くず鉄」5年ぶり黒字　東京製鉄@復興で鋼材高騰、東京製鉄黒字@東京製鉄5年ぶり黒字@五輪効果?東京製鉄、5年ぶり黒字@東鉄、5年ぶり黒字　3月期最終的利益@東京製鉄、5年ぶり黒字	
788	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	大阪府東大阪市菱江2丁目の市道で13日午前8時半ごろ、近くの派遣社員江頭一貴さん(36)が血だらけで倒れているのを通行人が見つけた。江頭さんは病院に運ばれたが、全身を強く打っており、死亡が確認された。「車にはねられるのを見た」との目撃情報が寄せられたことから、河内署が道路交通法違反(ひき逃げ)容疑などで調べている。	車にはねられ、男性死亡　東大阪の市道@車をはねた跡、ひき逃げで捜査　東大阪@道路に倒れていた男性死亡　ひき逃げ容疑で捜査　東大阪@自転車の36歳が死亡か、ひき逃げ容疑で捜査　東大阪@ひき逃げされ男性死亡　東大阪@ひき逃げされ?36歳男性死亡　東大阪	
789	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	経営再建中のシャープの2015年3月期決算は、純損益で赤字になる見通しとなった。黒字を予想していたが、2年ぶりの赤字になる。主力の液晶事業で、スマートフォン用パネルで計画通りの利益を出せず、海外で生産している国内向け白物家電の輸入コストが円安で上がるなどしているためだ。	シャープ、2年ぶり赤字へ　3月期決算@シャープ赤字へ　液晶事業、コスト増　3月期決算見通し@シャープ赤字、2年ぶり　液晶事業、コスト増　3月期決算@オリックスが2年ぶり赤字へ　3月期決算@新幹線事業で黒字予想変更も　シャープ、赤字見通し@シャープ、赤字転落へ　3月期	
790	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	第93回全国高校ラグビー大会県大会の決勝が20日、盛岡市の盛岡南公園球技場であった。黒沢尻北(北上市)が29-17で黒沢尻工(同)を破り、2年連続4回目の優勝を果たした。黒沢尻北は12月27日から大阪府東大阪市の近鉄花園ラグビー場で行われる全国大会に出場する。	黒沢尻北が連覇　高校ラグビー県大会決勝@中堅・黒沢尻北、花園へ　高校ラグビー県大会@黒沢尻北、花園へ　高校ラグビー県大会@花園へ、黒沢尻北が連覇　高校ラグビー県大会@黒沢尻北が連覇　高校ラグビー県大会@黒沢尻北V、花園へ　2年連続4回目　県高校ラグビー	
791	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	長野県栄村と隣り合う津南町上郷地区で3日、「しなちく雪まつり」が開かれ、県境をまたいで住民たちが交流を深めた。一昨年3月12日の長野県北部地震でともに被災し、住民同士がもっとつながりを深めようと企画された。ドンドンドン。	ドンドンドン、長野・栄村と隣り合う　津南で雪まつり@新潟と津南つなぐ雪まつり@長野北部地震で被災、住民同士が交流　津南で雪まつり@ドンドンドン、絆深めて　長野・津南、住民同士が交流@県境超え、被災地の絆　津南・上郷地区と長野・栄村、まつりで交流@ドンドンドン、また一つ　長野・栄村と津南町上郷町	
792	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	台風27号の接近に備え、東京電力は23日、福島第一原発の汚染水タンク群を囲む堰(せき)内の水を地下貯水槽に移すと発表した。地下貯水槽は4月に高濃度汚染水漏れが発覚し、使わない方針だった。さらに堰内の水の計測手順の簡略化も表明。	汚染水タンク、堰内で貯水槽へ　台風接近に備え　福島第一原発@夏の水量は地下貯水槽で　台風27号接近に備え、東電方針@「堰内の貯水槽」、台風接近に備え移転　東電、手順簡略化表明@熱中症対策にメド　汚染水タンクの貯水槽移動へ　福島第一原発@水の貯水槽、堰内で使わない方針　台風27号接近に備え　東電@地下貯水槽を再使用　福島第一、台風備え「封印」解除	
793	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	佐那河内村選挙管理委員会は21日、広域ごみ処理施設の建設問題を巡って村長が辞職したことに伴う出直し村長選の日程を、10月27日告示、11月1日投開票と決めた。立候補予定者説明会は10月9日午前10時から村農業振興センターで開かれる。9月2日現在の選挙人名簿登録者数は2220人。	夏山村長選、11月1日投票@新・佐那河内村長選は11月1日投開票@今回は11月1日　佐那河内村長選@「ごみ」出直し選、来月27日告示　佐那河内村長選@佐那河内村長選は11月1日投開票@ごみ施設問題、出直し佐那河内村長選　来月27日告示、11月1日投開票	
794	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	ソニー生命カップ全国レディーステニス決勝大会(日本テニス協会、朝日新聞社主催)が16~18日、東京都昭島市の昭和の森テニスセンターである。33回を迎える今大会は、9800人以上が地区大会に参加。勝ち抜いた282人(141ペア)の中には、東日本大震災の被害を乗り越えて出場する選手もいる。	頂点へ、息合わせて　ソニー生命カップ第33回全国レディーステニス決勝大会@優勝狙うは全国テニス　ソニーカップ16日開幕@全ペア出場「次は優勝」　全国レディーステニス大会@テニス、復興の糧に　ソニー生命杯、あす開幕@テニス頂点へ、9800人が挑む　16日から全国決勝大会@テニスにかける　全国決勝大会、16日から東京で	
795	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	滋賀県草津市野路1丁目のJR東海道線南草津駅のホームで6日午前11時10分ごろ、草津市の女性(28)が野洲発姫路行きの新快速電車(12両編成)と接触した。女性は病院に運ばれたが、頭を強く打って、間もなく死亡した。女性は妊娠4カ月だったが、胎児も助からなかった。	11時間後に死亡　JR南草津駅ホームで女性接触@電車と接触、女性死亡　滋賀・JR南草津駅@電車と接触、女性死亡　滋賀・JR東海道線@東海道線南草津駅で女性はねられ死亡　滋賀・草津町@JR西草津駅で事故、28歳女性死亡　妊婦助からず@駅で電車と接触、妊婦と胎児死亡　滋賀・JR東海道線	
796	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	高校野球の発展に尽くした指導者に贈る日本高野連と朝日新聞社の「育成功労賞」に、県内から県立糸島高などで長年監督を務めた瀬戸康政さん(69)=写真、糸島市=が選ばれた。情熱を持った指導で実力校に育て上げた功績が評価された。福岡工で外野手や捕手としてプレー。	情熱の指導、情熱の野球指導　育成功労賞に瀬戸康政さん　高校野球@野球で勝つ喜び生徒へ　元糸島高監督・瀬戸さんに育成功労賞@「野球で恩返し」育成功労賞に瀬戸康政さん　高校野球@情熱の指導、情熱の指導　育成功労賞に瀬戸康政さん　高校野球@県内に情熱、情熱の指導　育成功労賞に瀬戸康政さん　高校野球@情熱高めた指導、情熱の指導　育成功労賞に瀬戸康政さん　高校野球	
797	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県警地域課は5日、夏山期間中(7月1日~8月31日)の山岳遭難のまとめを発表した。発生件数は、過去最多だった昨年同期の117件を14件下回る103人で、過去3番目の多さだった。しかし、死者は9人から24人に増えた。	夏山遭難103人、昨年比14件減　死者は24人　県警@山岳遭難、過去最多103人　死者は24人に　県警まとめ@「死者9人増えた」　夏山遭難、最多ペース@死者数、過去2番目　夏山遭難、件数は3番目の多さ@秋山登山客は減少傾向に@今年の夏山登山、死者は24人に　県警まとめ	
798	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	山根京子(やまねきょうこ)さん=岐阜市▁ワサビも進化している。岐阜大学応用生物科学部の助教として、その起源を明らかにしようと研究を続けている。古くは飛鳥時代の木簡に登場し、江戸時代にはすしとともに普及したワサビ。	山根京子さん　47歳　岐阜大の助教@吉田京子さん　岐阜大の助教、ワサビ研究に取り組む@森京子さん　48歳　岐阜大の助教@山根京子さん　48歳　岐阜大の助教@山根京子さん　47歳　岐阜大・助教@山根京子さん　43歳　ワサビの起源を研究、岐大応用生物科学部助教	
799	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	子連れ専用の「ファミリー新幹線」が5日、東海道新幹線(東京-新大阪)を走った。高速道路対抗策の一環として、JR東海が初めて企画。東京、新横浜などの各駅は、一足早く帰省する家族や観光地に向かうグループらでにぎわった=写真、越田省吾撮影。	帰省客、新幹線で歓迎　東京-新横浜など@東京-新横浜など、帰省客でにぎわう　ファミリー新幹線@高速対抗策、家族でGO　「ファミリー新幹線」が東京-新横浜で@JR東海が初企画　子連れ専用の「ファミリー新幹線」@帰省先の駅、「家族」走る　東京-新横浜など@気兼ね無用、ファミリー専用新幹線　JR東海が初めて企画	
800	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	フリーライター▁飯島純二(横浜市栄区▁48)▁ロンドン五輪では、過去最多の38個のメダルを獲得するなど、日本選手の活躍が多くの感動と勇気を私たちに与えてくれた。それを受けて8年後の東京への五輪招致を支持する機運が強まっている。だが、私は現状での招致には反対だ。	「五輪」は東京を見直せ@東京五輪、招致にもっと反対@五輪招致、東京よりも仙台だ@ロシア人東京五輪に期待する@東京五輪、招致につなげる機運を@五輪で東京へ、勇気与える機運	
801	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	県は6日、沼田市のすし店「魚菜火(となか)」で2日に食事をした24~57歳の男女17人が下痢や吐き気などの食中毒症状を訴え、うち10人からノロウイルスが検出されたと発表した。県は同店を8日まで3日間の営業停止処分とした。県衛生食品課によると、発症者は歓送迎会で飲食した。	沼田のすし店で17人食中毒症状　ノロウイルス検出@17人食中毒症状　沼田、ノロウイルスか@県、沼田のすし店で食中毒@11人が食中毒症状　沼田のすし店@企業を営業停止に　沼田のすし店で17人食中毒症状@沼田のすし店で食中毒	
802	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	札幌市交通局は3日の市議会予算特別委員会で、4月から地下鉄車内での携帯電話の全面使用禁止の緩和を明らかにした。一方、心臓ペースメーカーを使う人に配慮、電源を切る「おもいやりゾーン」を設置する。1車両の面積の約30%分で、他社より広めのスペースをあてる。	地下鉄、携帯禁止緩和へ@ソフトバンク、地下鉄車内で携帯禁止を緩和　心臓ペースメーカーに配慮　4月から@夜の地下鉄に「おもいやりゾーン」　札幌市交通局が緩和@地下鉄車内の携帯、全面禁止を撤廃へ　札幌市交通局@地下鉄車内の携帯、全面禁止を緩和　札幌市交通局@地下鉄車内の携帯、全面禁止を緩和　心臓ペースメーカーに配慮　札幌市交通局	
803	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	市川署は1日、市川市の女性(80)が500万円の振り込め詐欺被害に遭ったと発表した。署によると、先月31日に次男をかたる男が女性宅に電話し、「タクシーに会社の小切手を忘れたのでお金が必要だ」と依頼。銀行で引き出すなどして500万円を用意し、自宅を訪ねてきた部下を名乗る男に手渡したという。	特殊詐欺で500万円被害　市川@振り込め詐欺、500万円の被害　市川の80歳女性@市川で500万円の振り込め詐欺被害@子育て話詐欺で500万円被害　市川の80歳女性@市川で500万円の振り込め詐欺@振り込め詐欺で500万円被害　市川の女性	
804	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	滑川町長選が7日、告示され、観光農園経営石川正明氏(57)と、3選を目指す吉田昇氏(71)の2人が、ともに無所属で立候補し、新顔と現職の一騎打ちとなった。投票は12日で、午後9時から町役場大会議室で即日開票される。6日現在の有権者数は1万3405人。	滑川町長選告示、現新の一騎打ち　12日投開票@滑川町長選告示、現新の一騎打ち@滑川町長選告示、現新一騎打ちに@滑川町長選告示、現新2氏届け出　12日投開票@現職の一騎打ち　滑川町長選告示@「観光農園」「吉田昇」一騎打ち　滑川町長選告示	
805	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	第22回東海マーチングコンテスト(東海吹奏楽連盟、朝日新聞社主催)が25日、名古屋市南区の日本ガイシホールであり、5県から中学、高校など37団体が参加し、練習の成果を披露した。審査の結果、11月23日に千葉市の幕張メッセである全国大会へ6団体が出場を決めたが、県勢からは選ばれなかった。県内の受賞校は次の通り。	県勢から出場なし　東海マーチングコンテスト@三重高が銀賞　東海マーチングコンテスト@関商工高が銅賞　東海マーチングコンテスト@東海大高円中が銀賞　東海マーチングコンテスト@東海大高円中が全国大会出場へ　東海マーチングコンテスト@西浜中が銀賞に　東海マーチングコンテスト	
806	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	宇治茶の初市が30日、城陽市寺田のJA全農京都茶市場であった。府内の指定業者70社が入札に参加、1キロ当たりの最高値は和束町産の手もみ茶が14万円と昨年を上回った。平均単価は1万4120円だった。	宇治茶、高値の初市　府内の指定業者70社参加@宇治茶初市、高値続く　府内の指定業者70社参加@宇治茶の初市、最高は14万円　「良質ぞろい」@「今年はいい出来」　宇治茶初市、高値続く@“お点前”宇治茶、高値スタート　城陽で初市@冬本番　宇治茶初市、高値続く	
807	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	人手不足や資金難から昨季、閉園を決めた福山市沼隈町の「平家谷花しょうぶ園」で、今年もハナショウブを観賞できることになった。市民団体の存続への支援が得られたため。多くの株を愛好家に分けて、花が減ったことなどから、今季は無料で開放する。	福山・平家谷花しょうぶ園、今年も観賞可　市民団体の存続支援で@今季は無料開放に　昨年閉園決定、福山の「平家谷花しょうぶ園」@県都の「平家谷花しょうぶ園」、今年も観賞可能に　福山@手作りハナショウブ観賞いかが　福山・平家谷花しょうぶ園@ハナショウブ、今年も観賞可　福山・平家谷花しょうぶ園@ハナショウブ、今年も観賞可　福山・平家谷、市民団体の存続支援で	
808	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	クマゼミが一番多いと言われる大阪府で、吹田市の万博記念公園では大半がアブラゼミで、クマゼミは1割ちょっと-。日本万国博覧会記念機構が実施した「セミのぬけがら調査」で、そんな傾向がわかった。調査は2年前から毎年、7月から9月初旬まで実施。	クマゼミ、大阪・万博公園は1割　日本万国博記念機構調査@クマゼミが多い?　大阪・吹田の万博公園、大半がアブラゼミで1割@アブラゼミ「けがら調査」　吹田・万博公園、大半がクマゼミ@マゼミ、1割になりけが　吹田・万博記念公園でクマゼミ調査@関西のクマゼミ、1割　日本万国博記念機構、吹田の万博公園調査@万博公園、アブラゼミの楽園　「クマゼミ優位」の府内と逆転	
809	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	川根本町の寸又峡温泉で7日夜、温泉感謝祭が行われた。温泉が1957年12月7日にわきだしたのを記念して、毎年行われている。今年は温泉が見つかってから50年目、営業を開始してから45年目の節目の年に当たり、行事も例年にましてにぎわった。	50年目の湯、にぎわう　川根本町・寸又峡温泉で感謝祭@50年目の温泉感謝祭　川根本町・寸又峡温泉@半世紀、節目の年　川根本町・寸又峡温泉で感謝祭開催中@50年目の湯、にぎわう　川根本町・寸又峡温泉@温泉発見50年、湯をかけ感謝　川根本・寸又峡温泉@半世紀前の湯、にぎわう　川根本町・寸又峡温泉街で「感謝祭」	
810	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	森永乳業(本社・東京都)は7日、グループ会社の工場で作った牛乳など7商品計約32万本を自主回収すると発表した。殺菌設備の不具合が原因といい、賞味期限内に風味が劣化するおそれがあるという。北海道小樽市桂岡町にある子会社の工場が3~5日にかけて製造した。	名産品自主回収　森永乳業@森永乳業、牛乳自主回収@牛乳など32万本、森永乳業が回収へ　風味劣化の恐れ@森永乳業、牛乳32万本を自主回収@「工場」の牛乳を回収　森永業@森永乳業、牛乳32万袋を自主回収	
811	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	1994年4月、林えいだいは台湾に渡った。高砂(たかさご)義勇隊について調べるためだ。高砂義勇隊は、日本軍が台湾原住民族を「日本人」として教育し、42年から7回、計約4千人が南方の激戦地に送られた。	高砂義勇隊　台湾　「日本人」の悲劇、今も@高砂義勇隊:上　台湾で激戦、激戦地へ@中国・台湾　高砂義勇隊:上　「日本人」の悲劇、今も@高砂義勇隊　台湾　「日本人」の悲劇、今は昔も@高砂義勇隊　台湾　戦火逃れた日本人教育@記録作家・林えいだい:16　日本の巧妙な植民地支配	
812	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	目の不自由な人たちのために小説などを読むボランティア活動をしている「音訳・ヴォイスの会」(可児市)が、今年で20周年を迎えた。発足当初から、月2回の同市の広報も欠かさずに音訳している。聞き手からは、会員の声を聞いただけで名前が分かるほど親しまれている。(高木文子)	音訳ボランティアの会、発足20年　可児市広報、音訳・アルイスの会@音訳ボランティア、可児の「ヴォイスの会」20年　音訳・ヴォイスの会@声の贈り物、届けて20年　視覚障害者に本など朗読　可児の音訳ボランティア@市民の声、音訳20年　可児のボランティア団体@読みたいけど...音訳20年　可児のボランティア団体、記念のライブ@小冊子に込めた思い　可児のボランティア団体、発足20年　月2回音訳も	
813	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	5冊目の著作となるコミックエッセー「秋田の村に、移住しました。」(無明舎出版)を出した。東成瀬村での夫婦15年の日々を面白おかしくまとめた。「極楽、赤貧、下流な日々」本の帯には刺激的な文句が並ぶ。	鈴木美代子さん　秋田の村に移住したコミックエッセーをまとめ出版する@中村真理子さん　東成瀬村で5冊目のコミックエッセーをまとめた@杉山彰さん　50歳　東成瀬村に移住して15年、5冊目の著作@赤貧の下、夫婦の15年　東成瀬の中島さん、コミックエッセー@木村文さん　コミックエッセー「秋田の村に移住した」@中島隆さん　5冊目コミックエッセー「秋田の村に移住」をまとめた	
814	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	越前市は22日、市内の商店街の販売促進活動などを支援する補助金制度について補助対象の条件を拡大する要項の改正案を明らかにした。「小売業者を中心に10店舗以上で設立した団体」を新たに加える。運営会社が破綻(はたん)したショッピングセンター「シピィ」内の専門店会の支援を想定したとみられる。	店舗設立団体も対象　越前市、補助金制度の条件拡大@商店街の販売促進、補助対象条件を拡大　越前市、条件緩和@店舗設立団体も対象　越前市、商店街の補助金制度拡大案@スーパー出店者も対象　10店舗以上の団体も　越前市の補助金制度@商店街の販売促進、補助対象を拡大　越前市、条件緩和@商店街支援補助金、越前市が条件拡大　「シピィ」想定か	
815	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	奄美市住用町で40年以上、交通安全活動を続けてきた同町の渡悦美さん(86)に16日、奄美署から感謝状が贈られた。渡さんは1973年から住用小の周辺で登校中の児童らの誘導を続けてきた。9月、地域の後輩に活動を引き継ぎ、引退したことを受け、感謝状が贈呈されることになったという。	新任務引き継ぎに感謝状　奄美署、渡悦美さんに@交通安全活動40年、渡さんありがとう　奄美署が感謝状@地域40年、見守り40年　奄美の渡さんに感謝状@奄美の渡悦美さん、交通安全活動40年　奄美署が感謝状@無事故願い感謝状　奄美署、住用町の男性に@住民誘導40年、奄美の渡悦美さんに感謝状　奄美署	
816	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	震災の被災者を官民共同で支援してきた「東日本大震災支援県民本部」が、来月末に解散する。被災した子どものための寄付金は残額があるため、4月以降は管理委員会を設けて支援を続けていく。県民本部は昨年4月に、阿部守一知事や経済団体などが発起人となり設立した。	「県民本部」、来月末に解散　震災の被災者を官民共同で支援@「震災支援県民本部」解散へ@震災支援の県民本部解散へ@県民本部、来月末解散　寄付残額、寄付残額に差@被災地支援県民本部、来年末に解散へ@被災者の寄付残額、官民で支援継続　県民本部、来年解散へ	
817	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	直島町民会館(通称・直島ホール)の落成式が28日にあった。建築家三分一(さんぶいち)博志さん(47)=広島市=による自然素材を生かした和風建築で、来年の瀬戸内国際芸術祭の参加作品だ。アートの島にまた一つ、ランドマークができた。	アートの島に和風建築　直島町民会館、完成@自然とともに　建築家・三分一さんデザイン、直島ホール完成@自然素材で和風建築　直島町民会館、完成@アートの島に「アートのランドマーク」　直島町民会館が落成式@大工の技と美、瀬戸芸の作品で　直島町民会館が落成式@アートの島に「アートの島」　直島町民会館、完成	
818	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	野党はやたらと批判を繰り返しますが、アベノミクスが失敗だと言うのなら、野党はどうしたいつもりなのか。それについては全く一言も言わずに、ただただ批判のオンパレードです。しかし、4年前のあの民主党政権の暗い時代に経済を戻したいと本当に思う人がいるでしょうか。	首相の発言　「アベノミクス失敗なら野党は言わず」@「自民政権の暗い時代に戻したい」　民主・海江田代表@「民主政権の暗い時代に戻したい」　自民・二階氏@「与党政権暗い時代に戻したい」　民主・海江田代表@「安定した政権のもと、経済成長を」河野行革相@小差で野党はどうしたいのか　稲田和男氏	
819	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	ルパンに不二子、銭形警部らが勢ぞろい。佐倉市在住の漫画家モンキー・パンチさん(75)の作品の魅力を伝える「ルパン三世展」が、佐倉市新町の市立美術館で開かれている。漫画の原画やアニメの企画書、セル画など約400点が並ぶ。	海越える愛と希望　佐倉で漫画家・モンキーさん三世展@ルパン三世と仲間、勢ぞろい　佐倉市立美術館@佐倉で「ルパン三世展」@天才漫画家ら勢ぞろい　佐倉市立美術館@お銭形警部ら400点、佐倉で「ルパン三世展」@佐倉で漫画三世展	
820	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	朝日新聞北海道支社と北海道テレビ放送(HTB)が主催する「ポプラ広場」が9日、札幌市であった。今回は新聞の授業での効果的な使い方を紹介する「先生のための新聞活用講座」で、小中学校の教員らが参加。授業の実践例や新聞の特性、読み方について講演があった。	新聞の活用法、教員ら学ぶ　札幌でポプラ集会@エネルギーの授業、新聞使う方法紹介　先生向け講演@新聞の活用法、先生ら学ぶ　札幌でポプラ広場@学校新聞の活用法、先生ら取り組み紹介　札幌でポプラ広場@新聞の活用方法、教員らが紹介　札幌でポプラ広場@新聞の活用法、教員が紹介　札幌でポプラ集会開く	
821	0		記事の内容をもとに書かれている見出しを全てチェックしてください。	記事	視覚障害者と共に演劇活動に取り組む「劇団ふぁんハウス」が11~13日、港区内で公演する。今回は2人の視覚障害者が舞台に立ち、創立10周年記念として3人のプロの役者も出演する。上演作品は「夢めぐり」脚本は劇団代表の平野恒雄さん(45)が書き下ろした。	視覚障害者2人、プロ3人と舞台　あすから赤坂で公演@若者の目で演じる夢　視覚障害者が舞台　劇団ふぁんハウス、あすから公演@視覚障害者と舞台、プロが主役　劇団ふぁん家、11日から公演　港区@視覚障害者と舞台、プロの役者も出演　港区で11~13日@東京・港区で「夢の芝居」公演@映画で伝える視覚障害者の魂　11~13日、港区で上演	
